	strain	gisaid_epi_isl	originating_lab	submitting_lab	author
10	hCoV-19/Taiwan/TSGH-01/2020	EPI_ISL_426629	TSGH-CP molecular lab	TSGH-CP molecular lab	Cherng-Lih Perng, Ming-Jr Jian, Chih-Kai Chang, Jung-Chung Lin, Kuo-Ming Yeh, Chien-Wen Chen, Sheng-Kang Chiu, Hsing-Yi Chung, Shih-Hung Tsai, Kuo-Sheng Hung, Feng-Yee Chang, Hung-Sheng Shang
11	hCoV-19/Iceland/13/2020	EPI_ISL_417765	The National University Hospital of Iceland	deCODE genetics	Daniel F Gudbjartsson; Agnar Helgason; Hakon Jonsson; Olafur T Magnusson; Pall Melsted; Gudmundur L Norddahl; Jona Saemundsdottir; Asgeir Sigurdsson; Patrick Sulem; Arna B Agustsdottir; Berglind Eiriksdottir; Run Fridriksdottir; Elisabet E Gardarsdottir; Gudmundur Georgsson; Olafia S Gretarsdottir; Kjartan R Gudmundsson; Thora R Gunnarsdottir; Arnaldur Gylfason; Hilma Holm; Brynjar O Jensson; Aslaug Jonasdottir; Kamilla S Josefsdottir; Thordur Kristjansson; Droplaug N Magnusdottir; Louise le Roux; Gudrun Sigmundsdottir; Gardar Sveinbjornsson; Kristin E Sveinsdottir; Maney Sveinsdottir; Emil A Thorarensen; Bjarni Thorbjornsson; Gisli Masson; Ingileif Jonsdottir; Alma Moller; Thorolfur Gudnason; Karl G Kristinsson; Unnur Thorsteinsdottir; Kari Stefansson
12	hCoV-19/SouthAfrica/KRISP-02/2020	EPI_ISL_421572	Molecular Diagnostic Services and FLowpath	KRISP, KZN Research Innovation and Sequencing Platform	Giandhari J, Pillay S, Ngcapu S, Samsunder N, Lessells R, Chimukangara B, Deforche K, Tegally H, Wilkinson E, de Oliveira T
13	hCoV-19/Italy/LAZ-INMI1-cs/2020	EPI_ISL_410546	INMI Lazzaro Spallanzani IRCCS	Laboratory of Virology, INMI Lazzaro Spallanzani IRCCS	Maria R. Capobianchi, Cesare E. M. Gruber, Martina Rueca, Fabrizio Carletti, Barbara Bartolini, Francesco Messina, Emanuela Giombini, Francesca Colavita, Concetta Castilletti, Eleonora Lalle, Emanuele Nicastri, Giuseppe Ippolito.
14	hCoV-19/Taiwan/TSGH-36/2020	EPI_ISL_457730	TSGH-CP molecular lab	TSGH-CP molecular lab	Cherng-Lih Perng, Ming-Jr JIAN, Chih-Kai Chang, Jung-Chung Lin, Kuo-Ming Yeh, Chien-Wen Chen, Sheng-Kang Chiu, Hsing-Yi Chung, Shih-Hung Tsai, Kuo-Sheng Hung, Tien-Yao Chang, Feng-Yee Chang, Hung-Sheng Shang
15	hCoV-19/Bahrain/BAH-20/2020	EPI_ISL_483561	Kingdom of Bahrein Ministry of Health	Erasmus Medical Center	Bas Oude Munnink, David Nieuwenhuijse, Reina Sikkema, Fatema, Ebrahim Shehad, Amjad Ghanem Mohamed, Hashmeya Al Wasti, Claudia Schapendonk, Irina Chestakova, Anne van der Linden, Theo Bestebroer, Stefan van Nieuwkoop, Mark Pronk, Pascal Lexmond, Richard Molenkamp, Marion Koopmans, on behalf of the Dutch national COVID-19 response team.
16	hCoV-19/Slovakia/60023-VHU1453_2020/2020	EPI_ISL_1942265	Regional Authority of Public Health Banská Bystrica Slovakia	SVFI, Veterinary institute in Zvolen, Slovakia	Dirbáková Z., Maďarová L., Mancoš M., Strhársky J., Sujová S., Mokryšová S., Tinák M., Mojžiš M.
17	hCoV-19/Brazil/ES-FIOCRUZ-225/2020	EPI_ISL_415128	Laboratório Central de Saúde Pública do Estado do Espírito Santo (LACEN-ES)	Laboratory of Respiratory Viruses and Measles, Oswaldo Cruz Institute, FIOCRUZ	Paola Resende, Allison Fabri, Joilson Xavier, Sunando Roy, Fernando Motta, Aline Mattos, Milene Miranda, Cristiana Garcia, Braulia Caetano, Maria Ogrzewalska, Jonathan Lopes, Luciana Appolinario, Maria Nóbrega, Marilda Siqueira on behalf of the Fiocruz COVID-19 Genomic Surveillance Network
18	hCoV-19/Mongolia/3631/2020	EPI_ISL_1805651	National Center for Communicable Diseases (NCCD) National Influenza Center	National Center for Communicable Diseases (NCCD) National Influenza Center	Naranzul Ts,Bayasgalan N,Khishigmunkh Ch,Seiichiro F,Hideka M,Mina N,Shinji W,Ankhbayar S,Tsogzolmaa G,Darmaa B,Battur L,Nymadawa P
19	hCoV-19/SouthKorea/S4/2020	EPI_ISL_485395	University of Ulsan College of Medicine and Asan Medical Center	University of Ulsan College of Medicine and Asan Medical Center	Kuenyoul Park, Jaewoong Lee, Kihyun Lee, Jiwon Jung, Sung-Han Kim, Jina Lee, Mauricio Chalita, Seok-Hwan Yoon, Jongsik Chun, Kyu-Hwa Hur, Heungsup Sung, Mi-Na Kim, and Hae Kyung Lee
20	hCoV-19/Nigeria/OG007-CV22/2020	EPI_ISL_455412	Nigeria Centre for Disease Control (NCDC)	African Centre of Excellence for Genomics of Infectious Diseases (ACEGID), Redeemer's University, Ede, Osun State, Nigeria	Oluniyi P.E., Ajogbasile F.V., Kayode A., Oguzie J., Olawoye I., Uwanibe J., Olumade T., Folarin O.A., Ihekweazu C., Happi C.T.
21	hCoV-19/Greece/53/2020	EPI_ISL_434466	Laboratory of Microbiology, Medical School, National and Kapodistrian University of Athens	Laboratory of Biology, Department of Medicine, Democritus University of Thrace	Kassela K., Bampali,M., Dovrolis,N., Gatzidou,E., Froukala,E., Stavropoulou,A., Veletza,S., Tsakris,A., Spanakis,N. and Karakasiliotis,I.
22	hCoV-19/Chile/RM-ISPCH-55/2020	EPI_ISL_445351	HOSPITAL SAN JUAN DE DIOS	Instituto de Salud Publica de Chile	Andrés E Castillo, Bárbara Parra,Paz Tapia, Jaime Lagos, Loredana Arata, Alejandra Acevedo, Winston Andrade, Gabriel Leal, Carolina Tambley, Patricia Bustos, Rodrigo Fasce, Jorge Fernandez
23	hCoV-19/Aruba/AW-RIVM-10122/2020	EPI_ISL_547449	Dutch COVID-19 response team	National Institute for Public Health and the Environment (RIVM)	Adam Meijer, Harry Vennema, Jeroen Cremer, Sharon van den Brink, Bas van der Veer, AnneMarie van den Brandt, Florian Zwagemaker, Dennis Schmitz, Chantal Reusken, on behalf of the national COVID-19 response team
24	hCoV-19/Qatar/QA-WCMQ_FD17059336/2020	EPI_ISL_1714185	Ministry of Public Health / Hamad Medical Corporation	Weill Cornell Medical College - Qatar (WCM-Q), Genomics Core Laboratory / Qatar Genome Project (QGP)	WCMQ: Ayeda A. Ahmed, Meryem Bensaad, Shameem Younuskunju, Yasmin Mohamoud, Laith Abu-Raddad, Joel A Malek. QGP: Fatima H. Al-Kuwari, Chadi Saad MOPH and HMC: Abdullatif Al-Khal, Muna A. S. Al-Maslamani, Mashael A. Al-Bader, Hamda Alromaihi, Roberto Bertollini, Peter V. Coyle, Einas A. E. Al-Kuwari, Hamad E. Al-Romaihi, Salih Al-Marri, Mohammed Al-Thani, Reham A. El-Kahlout. QBB: Tasneem Al-Hamad, Dina Elgakhlab
25	hCoV-19/NewZealand/20VR2109/2020	EPI_ISL_456378	MedLab Central Ltd	Institute of Environmental Science and Research (ESR)	Matt Storey, Xiaoyun Ren, Anja Werno, Antje van der Linden, Arlo Upton, Chris Mansell, David Hammer, Dragana Drinkovic, Erasmus Smit, Gary McAuliffe, Hana Sofia Andersson, James Ussher, Jill Sherwood, Josh Freeman, Julia Howard, Juliet Elvy, Mary DeAlmeida, Matt Blakiston, Matthew Rogers, Max Bloomfield, Michael Addidle, Michelle Balm, Sally Roberts, Sarah Jefferies, Sharmini Muttaiyah, Susan Morpeth, Susan Taylor, Timothy Blackmore, Vani Sathyendran, Veronica Playle, Virginia Hope, Erasmus Smit, Lauren Jelly, Joep de Ligt
26	hCoV-19/England/CAMB-8473C/2020	EPI_ISL_440499	Department of Pathology, University of Cambridge	Wellcome Sanger Institute for the COVID-19 Genomics UK (COG-UK) consortium	Luke W Meredith, M. Estée Török , Myra Hosmillo, William L. Hamilton, Martin D. Curran, Theresa Feltwell, Grant Hall, Anna Yakovleva, Fahad A Khokhar, Charlotte J. Houldcroft, Laura G Caller, Aminu S. Jahun, Sarah L. Caddy, Ian Goodfellow, Alex Alderton, Roberto Amato, Sonia Goncalves, Ewan Harrison, David K. Jackson, Ian Johnston, Dominic Kwiatkowski, Cordelia Langford, John Sillitoe on behalf of the Wellcome Sanger Institute COVID-19 Surveillance Team (http://www.sanger.ac.uk/covid-team)
27	hCoV-19/Uganda/UG037/2020	EPI_ISL_737957	Uganda Central Public Health Lab and Uganda Virus Research Institute	MRC/UVRI & LSHTM Uganda Research Unit	Matthew Cotten, Dan Lule Bugembe, My V.T. Phan, Pontiano Kaleebu et al.
28	hCoV-19/Jordan/SR-035/2020	EPI_ISL_429995	Biolab Diagnostic Laboratories	Andersen lab at Scripps Research	Issa Abu-Dayyeh, Ahmad Tibi, Lama Hussein, Lina Mohammad, Zein Naber, Amid Abdelnour with SEARCH Alliance San Diego
29	hCoV-19/Timor-Leste/TL25/2020	EPI_ISL_456600	National Health Laboratory, Timor-Leste	Microbiological Diagnostic Unit Public Health Laboratory, The Peter Doherty Institute for Infection and Immunity	Soares da Silva, E., Dolores de Jesus da Costa, M., Salles de Sousa, A., Jayanti Pereira Tilman, A., Antonia da Costa, E., Barreto, I., Marr, I., Wapling, J., Francis, J., Ximenes, J., Canisia, D., Freeman, K., Dakh, F., Douglas, N., Baird, R., Caly, L., Seemann, T., Sait, M., Schultz, M., Sherry, N.
30	hCoV-19/Ukraine/203100357/2020	EPI_ISL_512636	National Laboratory for Influenza/Virology reference laboratory, Public Health Center of the Ministry of Health of Ukraine	Respiratory Virus Unit, Microbiology Services Colindale, Public Health England	PHE Covid Sequencing Team, Dr. Iryna Demchyshyna
31	hCoV-19/BosniaandHerzegovina/ChVir7340/2020	EPI_ISL_462450	Clinical Center, University of Sarajevo	Charite Universitatsmedizin Berlin, Institute of Virology	Victor M Corman, Jorn Beheim-Schwarzbach, Barbara Muehlemann, Talitha Veith, Julia Schneider, Terry Jones, Amela Dedeic-Ljubovic, Irma Salimovic-Besic, Suzana Arapcic, Almedina Hadzihasanovic-Moro, Selma Mutevelic, Christian Drosten
32	hCoV-19/Nepal/61/2020	EPI_ISL_410301	National Influenza Centre, National Public Health Laboratory, Kathmandu, Nepal	The University of Hong Kong	Ranjit Sah , Runa Jha, Daniel Chu, Haogao Gu, Malik Peiris, Anup Bastola, Alfonso J. Rodriguez-Morales, Bibek Kumar Lal, Basu Dev Pandey, Leo Poon
33	hCoV-19/HongKong/HKPU6_2101/2020	EPI_ISL_417178	Department of Pathology, Princess Margaret Hospital	Department of Health Technology and Informatics, Faculty of Health and Social Science, The Hong Kong Polytechnic University	Kenneth Siu-Sing LEUNG, Timothy Ting-Leung NG, Alan Ka-Lun WU, Miranda Chong-Yee YAU, Hiu-Yin LAO, Ming-Pan CHOI, Kingsley King-Gee TAM, Lam-Kwong LEE, Barry Kin-Chung WONG, Alex Yat-Man HO, Kam-Tong Yip, Kwok-Cheung LUNG, Raymond Wai-To LIU, Eugene Yuk-Keung TSO, Wai-Shing LEUNG, Man-Chun CHAN, Yuk-Yung NG, Kit-Man SIN, Kitty Sau-Chun FUNG, Sandy Ka-Yee CHAU, Wing-Kin TO, Tak-Lun Que, David Ho-Keung SHUM, Shea Ping YIP, Wing Cheong YAM, Gilman Kit-Hang SIU
34	hCoV-19/Netherlands/Tilburg_1363354/2020	EPI_ISL_413586	Foundation Elisabeth-Tweesteden Ziekenhuis	Erasmus Medical Center	David Nieuwenhuijse, Bas Oude Munnink, Reina Sikkema, Claudia Schapendonk, Irina Chestakova, Anne van der Linden, Mark Pronk, Pascal Lexmond, Corien Swaan, Manon Haverkate, Madelief Mollers, Mart Stein, Sandra Kengne Kamga Mobou, Jeroen van Kampen, Jolanda Voermans, Aura Timen, Corine GeurtsvanKessel, Annemiek van der Eijk, Richard Molenkamp, Marion Koopmans, on behalf of the Dutch national COVID-19 response team.
35	hCoV-19/Belgium/rega-0629702/2020	EPI_ISL_734782	UZ Leuven, National Reference Laboratory for Coronaviruses, Laboratory Medicine, Leuven, Belgium	KU Leuven, Rega Institute, Clinical and Epidemiological Virology	Tony Wawina-Bokalanga, Joan Marti-Carerras, Bert Vanmechelen, Piet Maes
36	hCoV-19/Austria/CeMM0080/2020	EPI_ISL_437947	Universitaetsklinik für Innere Medizin II Innsbruck	Bergthaler laboratory, CeMM Research Center for Molecular Medicine of the Austrian Academy of Sciences	Alexandra Popa, Benedikt Agerer, Henrique Colaco, Lukas Endler, Jakob-Wendelin Genger, Alexander Lercher, Mark Smyth, Thomas Penz, Michael Schuster, Jan Laine, Martin Senekowitsch, Judith Aberle, Stephan Aberle, Elisabeth Puchhammer-Stoeckl, Manfred Nairz, Guenter Weiss, Wegene Borena, Dorothee von Laer, Christoph Bock, Andreas Bergthaler
37	hCoV-19/Wuhan/HB-WHCM2-273/2020	EPI_ISL_455409	Wuhan Chain Medical Labs (CMLabs)	State Key Laboratory of Biotherapy of Sichuan University	Baowen Du, Minjin Wang, Chao Tang, Chuan Chen, Yongzhao Zhou, Mingxia Yu, Hancheng Wei, Weimin Li, Jing-wen Lin, Jia Geng, Binwu Ying, Lu Chen
38	hCoV-19/Austria/CeMM0450/2020	EPI_ISL_583575	Austrian Agency for Health and Food Safety (AGES)	Bergthaler laboratory, CeMM Research Center for Molecular Medicine of the Austrian Academy of Sciences	Alexandra Popa, Benedikt Agerer, Henrique Colaco, Lukas Endler, Jakob-Wendelin Genger, Alexander Lercher, Mark Smyth, Thomas Penz, Michael Schuster, Jan Laine, Martin Senekowitsch, Judith Aberle, Stephan Aberle, Peter Hufnagl, Daniela Schmid, Franz Allerberger, Elisabeth Puchhammer-Stoeckl, Manfred Nairz, Guenter Weiss, Gregor Hörmann, Kinga Rigler-Hohenwarter, Rainer Gattringer, Wegene Borena, Dorothee von Laer, Gernot Walder, Peter Obrist, Christian Paar, Sabine Sussitz-Rack, Gunther Vogl, Adi Steinrigl, Christoph Bock, Andreas Bergthaler
39	hCoV-19/Netherlands/LI-RIVM-10150/2020	EPI_ISL_547478	Dutch COVID-19 response team	National Institute for Public Health and the Environment (RIVM)	Adam Meijer, Harry Vennema, Jeroen Cremer, Sharon van den Brink, Bas van der Veer, AnneMarie van den Brandt, Florian Zwagemaker, Dennis Schmitz, Chantal Reusken, on behalf of the national COVID-19 response team
40	hCoV-19/Austria/CeMM0142/2020	EPI_ISL_583563	Center for Virology, Medical University of Vienna	Bergthaler laboratory, CeMM Research Center for Molecular Medicine of the Austrian Academy of Sciences	Alexandra Popa, Benedikt Agerer, Henrique Colaco, Lukas Endler, Jakob-Wendelin Genger, Alexander Lercher, Mark Smyth, Thomas Penz, Michael Schuster, Jan Laine, Martin Senekowitsch, Judith Aberle, Stephan Aberle, Peter Hufnagl, Daniela Schmid, Franz Allerberger, Elisabeth Puchhammer-Stoeckl, Manfred Nairz, Guenter Weiss, Gregor Hörmann, Kinga Rigler-Hohenwarter, Rainer Gattringer, Wegene Borena, Dorothee von Laer, Gernot Walder, Peter Obrist, Christian Paar, Sabine Sussitz-Rack, Gunther Vogl, Adi Steinrigl, Christoph Bock, Andreas Bergthaler
41	hCoV-19/Norway/02742/2020	EPI_ISL_2333203	Norwegian Institute of Public Health, Department of Virology	Norwegian Institute of Public Health, Department of Virology	Kathrine Stene-Johansen, Kamilla Heddeland Instefjord, Hilde Elshaug, Garcia Llorente Ignacio, Jon Bråte, Engebretsen Serina Beate,Pedersen Benedikte Nevjen, Debech Nadia, Line Victoria Moen, Atiya R Ali,Marie Paulsen Madsen, Rasmus Riis Kopperud, Hilde Vollan, Karoline Bragstad, Olav Hungnes
42	hCoV-19/Austria/CeMM0002/2020	EPI_ISL_419655	Center for Virology, Medical University of Vienna	Bergthaler laboratory, CeMM Research Center for Molecular Medicine of the Austrian Academy of Sciences	Alexandra Popa, Benedikt Agerer, Henrique Colaco, Lukas Endler, Jakob-Wendelin Genger, Alexander Lercher, Mark Smyth, Thomas Penz, Michael Schuster, Judith Aberle, Stephan Aberle, Elisabeth Puchhammer-Stöckl, Christoph Bock, Andreas Bergthaler
43	hCoV-19/Australia/QLDID922/2020	EPI_ISL_418799	Mater Pathology	Public Health Virology Laboratory	Bixing Huang, Alyssa Pyke, Amanda De Jong, Andrew Van Den Hurk, Carmel Taylor, David Warrilow, Doris Genge, Elisabeth Gamez, Glen Hewitson, Ian Maxwell Mackay, Inga Sultana, Jamie McMahon, Jean Barcelon, Judy Northill, Mitchell Finger, Natalie Simpson, Neelima Nair, Peter Burtonclay, Peter Moore, Sarah Wheatley, Sean Moody, Sonja Hall-Mendelin, Timothy Gardam, and Frederick Moore
44	hCoV-19/Lithuania/MR-LUHS-Eilnr104/2020	EPI_ISL_603114	Lithuanian University of Health Sciences Hospital, Department of Laboratory Medicine	Lithuanian University of Health Sciences, Molecular cardiology lab.	Lukas Zemaitis, Ingrida Olendraitė, Arnoldas Pautienius, Kamile Tamusauskaite, Dovydas Gecys, Laura Pareckaite, Vaiva Lesauskaite, Astra Vitkauskiene
45	hCoV-19/Cambodia/0012/2020	EPI_ISL_411902	Virology Unit, Institut Pasteur du Cambodge.	Virology Unit, Institut Pasteur du Cambodge (Sequencing done by: Jessica E Manning/Jennifer A Bohl at Malaria and Vector Research Research Laboratory, National Institute of Allergy and Infectious Diseases and Vida Ahyong from Chan-Zuckerberg Biohub)	Erik A Karlsson, Jennifer A Bohl, Vida Ahyong, Veasna Duong, Philippe Dussart, Jessica E Manning.
46	hCoV-19/USA/IL1/2020	EPI_ISL_404253	IL Department of Public Health Chicago Laboratory	Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Disease Control and Prevention	Ying Tao, Krista Queen, Clinton R. Paden, Jing Zhang, Yan Li, Anna Uehara, Xiaoyan Lu, Brian Lynch, Senthil Kumar K. Sakthivel, Brett L. Whitaker, Shifaq Kamili, Lijuan Wang, Janna' R. Murray, Susan I. Gerber, Stephen Lindstrom, Suxiang Tong
47	hCoV-19/Japan/OS-20-07-1/2020	EPI_ISL_410532	Dept. of Pathology, National Institute of Infectious Diseases	Pathogen Genomics Center, National Institute of Infectious Diseases	Tsuyoshi Sekizuka, Harutaka Katano, Shutoku Matsuyama, Naganori Nao, Kazuya Shirato, Motoi Suzuki, Hideki Hasegawa, Takaji Wakita, Makoto Takeda, Tadaki Suzuki, Makoto Kuroda
48	hCoV-19/Curacao/CW-RIVM-10308/2020	EPI_ISL_636492	Dutch COVID-19 response team	National Institute for Public Health and the Environment (RIVM)	Adam Meijer, Harry Vennema, Jeroen Cremer, Sharon van den Brink, Bas van der Veer, AnneMarie van den Brandt, Florian Zwagemaker, Dennis Schmitz, Chantal Reusken, on behalf of the national COVID-19 response team
49	hCoV-19/USA/CA-SCCPHD-UC108/2020	EPI_ISL_435587	Santa Clara County Public Health Department	Chiu Laboratory, University of California, San Francisco	Xianding Deng, Scot Federman, Wei Gu, Elsa Villarino, Brandon Bonin, Debra A. Wadford, and Charles Y. Chiu
50	hCoV-19/Malaysia/6359/2020	EPI_ISL_501220	Department of Medical Microbiology, University Malaya Medical Centre	Department of Medical Microbiology, Faculty of Medicine, University of Malaya	Yoong Min CHONG, Jennifer Chong, I-Ching SAM, Yoke Fun CHAN, University Malaya Medical Centre COVID Team
51	hCoV-19/Indonesia/JK-GSILab-9440/2021	EPI_ISL_2500492	Genomik Solidaritas Indonesia Laboratorium	Genomik Solidaritas Indonesia Laboratorium	Carissa Sintca Wijaya, Vania Gavrila Wikasa, Normastuti Adhini Tantyo, Alfin Mohammad Abdillah, Dhahlia Agustina Cahyono, Gracia Felias Enos Korompis, Annisa Muthiah Sukirman, Pratiwi Sudarmono, Budi Wiweko, Meutia Ayuputeri Kumaheri, Anindya Pradipta Susanto, Louisa Markus, Ariel Pradipta
52	hCoV-19/SouthAfrica/R05204/2020	EPI_ISL_450297	National Institute for Communicable Diseases of the National Health Laboratory Service	National Institute for Communicable Diseases of the National Health Laboratory Service	Allam M, Ismail A, Khumalo Z, Kwenda S, van Heusden P, Mtshali P, Mnyameni F, Mohale T, Subramoney K, Bhiman JN
53	hCoV-19/Singapore/29/2020	EPI_ISL_420106	National Centre for Infectious Diseases	Programme in Emerging Infectious Diseases, Duke-NUS Medical School	Danielle E Anderson, Martin Linster, Yan Zhuang, Jayanthi Jayakumar, David CB Lye, Yee Sin Leo, Barnaby E Young, Yvonne CF Su, Gavin JD Smith
54	hCoV-19/Indonesia/KI-NIHRDC004160/2020	EPI_ISL_984277	National Institute of Health Research and Development	National Institute of Health Research and Development	Kindi Adam, Holy Arif Wibowo, Ririn Ramadhany, Yuni Rukminiati, Agustiningsih, Hana Apsari Pawestri, Subangkit, Kartika Dewi Puspa, Arie Ardiansyah Nugraha, Hartanti Dian Ikawati, Krisna Nur Andriana Pangesti, Ni Ketut Susilarini, Nur Ika Hariastuti, Uly Alfi Nikmah, Mursinah, Asri Febriyani, Reni Herman, Nike Susanti, Herna, Tati Febriyanti, Natalie Laurencia Kipuw, Fauzul Muna, Irene Lorinda Indalao, Aulia Rizki, Nelly Puspandari, Vivi Setiawaty
55	hCoV-19/Malaysia/UNIMAS-11942/2020	EPI_ISL_718146	Ministry of Health Hospitals	Institute of Health and Community Medicine	David Perera, Ooi Mong How, Chua Hock Hin, Tonnii Sia Loong Loong, Wong Jyn Shan, Wong Kiing Aik, Chan Chia Jui
56	hCoV-19/Argentina/PAIS-C0023/2020	EPI_ISL_792424	Laboratorio de Inmunología del Hospital Perrando e Instituto de Medicina Regional de la UNNE	Instituto de Biotecnología, IABIMO (CONICET), Instituto de Virología, IVIT(CONICET), Instituto de Patobiología, IPVET(CONICET), CICVyA, INTA on behalf of 'Proyecto Argentino Interinstitucional de genomica de SARS-CoV-2' (PAIS Consortium)	König, GA; Peralta, AV; Distéfano, AJ; Zavallo, D; Muñoz Hidalgo, MG; Vera, PA; Fass, M; Farber, MD; Cacciabué, MPD; Pedroarias, VC; Lozano Calderón, LC; Bengoa Luoni, S; Asurmendi, S; Foussal, MD; Deluca, G; Ayala, NA; Gómez, MV; Giusiano, G; Lucero, H; Marin, M; Lescano, L; Cayré, A; Paniego, NB; Rivarola, M; Puebla, AF; Viegas, M.
